enode://7c0a476457d15160371fdb29fd140f692372d03753bffbe73115acb252ec0f46d359f326962870b0603963f23edde015971d16694d1e0a763999bddeaa052874@127.0.0.1:0?discport=30301
Note: you're using cmd/bootnode, a developer tool.
We recommend using a regular node as bootstrap node for production deployments.
INFO [04-29|15:08:05.406] New local node record                    seq=1,714,370,885,405 id=e8c530c4013c4afa ip=<nil> udp=0 tcp=0
TRACE[04-29|15:08:17.029] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:17.029] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:17.506] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:17.506] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:17.529] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:17.529] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:17.530] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:17.531] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:18.007] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:18.008] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:18.030] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:18.031] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:18.031] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:18.032] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:18.508] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:18.509] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:18.531] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:18.532] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:18.532] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:18.533] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:18.600] << PING/v4                               id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:18.601] >> PONG/v4                               id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:18.602] << ENRREQUEST/v4                         id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:18.602] >> ENRRESPONSE/v4                        id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:19.009] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:19.010] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:19.031] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:19.031] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:19.032] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:19.032] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:19.510] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:19.510] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:19.532] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:19.533] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:19.534] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:19.534] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:20.011] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:20.011] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:20.034] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:20.034] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:20.035] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:20.035] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:20.512] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:20.512] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:20.535] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:20.535] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:20.536] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:20.537] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:20.972] >> PING/v4                               id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
DEBUG[04-29|15:08:20.973] Revalidated node                         b=14 id=c9b518dc643b4e9e checks=2
TRACE[04-29|15:08:20.973] << PONG/v4                               id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:21.013] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:21.014] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:21.036] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:21.037] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:21.037] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:21.037] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:21.514] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:21.514] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:21.537] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:21.537] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:21.538] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:21.538] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:22.014] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:22.014] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:22.037] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:22.037] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:22.039] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:22.039] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:22.515] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:22.516] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:22.538] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:22.538] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:22.540] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:22.540] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:22.934] << PING/v4                               id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:22.934] >> PONG/v4                               id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:22.936] << ENRREQUEST/v4                         id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:22.936] >> ENRRESPONSE/v4                        id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:23.017] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:23.017] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:23.039] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:23.039] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:23.040] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:23.041] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:23.518] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:23.518] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:23.540] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:23.540] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:23.541] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:23.542] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:24.019] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:24.020] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:24.041] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:24.041] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:24.042] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:24.042] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:24.399] >> PING/v4                               id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:24.400] << PONG/v4                               id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:24.400] >> ENRREQUEST/v4                         id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:24.401] << ENRRESPONSE/v4                        id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
DEBUG[04-29|15:08:24.402] Revalidated node                         b=14 id=ccbd1f3c6981dc96 checks=1
TRACE[04-29|15:08:24.520] << FINDNODE/v4                           id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:24.521] >> NEIGHBORS/v4                          id=b9e9a1b9cc166c17 addr=127.0.0.1:8402 err=<nil>
TRACE[04-29|15:08:24.542] << FINDNODE/v4                           id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:24.542] >> NEIGHBORS/v4                          id=ccbd1f3c6981dc96 addr=127.0.0.1:8401 err=<nil>
TRACE[04-29|15:08:24.543] << FINDNODE/v4                           id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
TRACE[04-29|15:08:24.543] >> NEIGHBORS/v4                          id=c9b518dc643b4e9e addr=127.0.0.1:8400 err=<nil>
